img_path,Marke,Produktname,Original Preis,Reduzierter Preis,Gewicht
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2449109\1\budni_2449109_1_1655.png, RITTER SPORT, Nussklasse, 2.19, 0.99, 100 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2449109\1\budni_2449109_1_1657.png, Dallmayr, Prodomo Kaffee, 7.49, 5.69, 500 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2449109\1\budni_2449109_1_1659.png, Yogi, Tea, 3.29, 1.99, 32.3 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2449109\1\budni_2449109_1_1661.png, Palmolive, Duschgel, 1.69, 0.99, 250 ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2449109\2\budni_2449109_2_1668.png, M. Asam, Magic Finish Make Up, 26.99, 18.99, 30 ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2449109\2\budni_2449109_2_1671.png, Rosense, Rosenwasser, 14.99, 12.99, 300 ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2449109\2\budni_2449109_2_1672.png, Nivea, Vital Anti-Falten Tagespflege, 7.99, 6.79, 50 ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2449109\3\budni_2449109_3_1689.png, Kölln, Schmelzflocken, 2.29, 1.79, 250 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2449109\3\budni_2449109_3_1690.png, Bübchen, Schaumbad, 0.95, 0.79, 40 ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2449109\3\budni_2449109_3_1691.png, Weleda, Sanddorn Express Handcreme, 6.45, 5.29, 50 ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2449109\4\budni_2449109_4_1697.png, Heitmann, Wäsche Weiss, 1.19, 0.79, 50 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2449109\4\budni_2449109_4_1704.png, Sagrotan, Reiniger, 3.49, 2.49, 750 ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2449109\5\budni_2449109_5_1717.png, IAMS, Katzennahrung, 0.89, 0.59, 85 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2449109\8\budni_2449109_8_1725.png, Café Intención, Crema Aromatico, 19.99, 13.99, 1 kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2449109\8\budni_2449109_8_1727.png, M&M's, Peanut, 3.99, 2.19, 250 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2455686\1\budni_2455686_1_2906.png, Milka, Schokolade, 1.35, 0.79, 100 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2455686\1\budni_2455686_1_2912.png, , Nutella, 3.49, 2.49, 450 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2455686\2\budni_2455686_2_2920.png, CB12, Mundspülung, 6.99, 5.99, 200 ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2455686\2\budni_2455686_2_2915.png, Nivea, Creme, 3.69, 2.99, 250ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2455686\3\budni_2455686_3_2935.png, Guhl, Trockenshampoo, 3.99, 3.39, 200 ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2455686\3\budni_2455686_3_2940.png, Billy Tiger, Maisstangen, 0.89, 0.79, 60 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2455686\4\budni_2455686_4_2952.png, Natural Wax, Stabkerzen, 4.99, 3.99, 4 Stück
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2455686\4\budni_2455686_4_2956.png, Ecover, WC-Reiniger Citrusfrische, 2.49, 1.79, 750 ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2455686\5\budni_2455686_5_2968.png, Premier Protein, 50% Riegel, 1.19, 0.89, 40 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2455686\5\budni_2455686_5_2970.png, Power System, Crunchy Riegel, 1.79, 1.29, 45 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2455686\6\budni_2455686_6_2976.png, Neoh, Riegel, 1.49, 1.29, 30g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2455686\6\budni_2455686_6_2984.png, Booster, Energy Drink, 0.79, 0.59, 330 ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2455686\6\budni_2455686_6_2987.png, Baileys, Irish Cream Liqueur 17%, 11.99, 9.99, 700 ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2455686\6\budni_2455686_6_2990.png, Oat Moelk, Hafermilch, 1.99, 1.69, 1 Liter
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2455686\6\budni_2455686_6_2978.png, Knoppers, Goodies, 2.99, 2.49, 180 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\1\budni_2479913_1_6003.png, Funny-frisch, Chipsfrisch, 1.99, 1.11, 150 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\1\budni_2479913_1_6005.png, Kinder, Riegel, 4.49, 3.33, 378 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\2\budni_2479913_2_6024.png, Nivea, Cellular Anti-Age Tagespflege, , 12.99, 50 ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\2\budni_2479913_2_6023.png, Nivea, Flüssigseife, 2.29, 1.59, 250 ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\4\budni_2479913_4_6049.png, Surig, Essigessenz, 1.49, 0.99, 400 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\4\budni_2479913_4_6054.png, Heimatgut, Popcorn, 1.99, 1.39, 90 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\6\budni_2479913_6_6076.png, Naturally Pam, Porridge, 1.99, 1.59, 60 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\6\budni_2479913_6_6077.png, Nucao, Schokoladenriegel, 1.69, 1.29, 33 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\6\budni_2479913_6_6081.png, Maoam, Bloxx, 0.85, 0.59, 110 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\6\budni_2479913_6_6084.png, Naturally Pam, Oat Bar, 2.29, 1.69, 40 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\6\budni_2479913_6_6086.png, Alnatura, Orangensaft, 3.49, 2.99, 1 Liter
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\6\budni_2479913_6_6087.png, Alnatura, Espresso, 3.99, 3.49, 250 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\7\budni_2479913_7_6095.png, Seeberger, Adventskalender, 29.99, 19.99, 590 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\7\budni_2479913_7_6103.png, Funny-frisch, Adventskalender, 22.99, 19.99, 810 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\8\budni_2479913_8_6107.png, Kölln, Schoko-Müsli, 3.79, 1.99, 600 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\8\budni_2479913_8_6109.png, Softlan, Weichspüler, 2.49, 1.29, 45 WL
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\8\budni_2479913_8_6110.png, Axe, Deo Spray, 4.49, 3.29, 150 ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\8\budni_2479913_8_6108.png, Clif Bar, Energieriegel, 2.29, 1.79, 68 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\8\budni_2479913_8_6111.png, Monster, Energydrink, 1.49, 0.88, 500 ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\1\budni_2494853_1_7516.png, Duschdas, Duschgel, 1.79, 0.99, 225 ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\1\budni_2494853_1_7517.png, Katjes, Fruchtgummi, 1.19, 0.69, 175 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\2\budni_2494853_2_7528.png, Sensodyne, Zahncreme, 2.99, 2.49, 75 ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\2\budni_2494853_2_7530.png, bebe, Reinigungstücher, 2.49, 1.79, 25 Stück
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\3\budni_2494853_3_7543.png, Hipp, Reiswaffeln, 1.29, 0.79, 30 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\3\budni_2494853_3_7546.png, Milupa, Milchbrei, 4.99, 3.49, 400 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\3\budni_2494853_3_7548.png, Fruchtbar, Knusper-Snack, 1.19, 0.99, 30 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\4\budni_2494853_4_7557.png, Sagrotan, Wäsche-Hygienespüler, 4.49, 3.29, 1.5 Liter
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\4\budni_2494853_4_7553.png, Lenor, Wäscheparfüm, 3.99, 3.49, 12 WL
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\5\budni_2494853_5_7567.png, Centrum, A-Zink, 13.25, 9.99, 30 Tabletten
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\5\budni_2494853_5_7566.png, Vitasprint, B12 Trinkflaschen, 23.49, 19.99, 10 Stück
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\7\budni_2494853_7_7602.png, Lindt, Nuxor Promotion, 3.49, 2.49, 103 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\7\budni_2494853_7_7615.png, kinder, Cards, 2.69, 1.99, 128 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\8\budni_2494853_8_7619.png, Fairy, Spülmittel, 2.29, 1.29, 450 ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\8\budni_2494853_8_7621.png, Palmolive, Flüssigseife, 1.69, 0.99, 300 ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2621611\3\budni_2621611_3_29876.png, I+M We Reduce!, Vanilla Lippenpflege, 4.40, 3.49, 5 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2621611\4\budni_2621611_4_29889.png, More, Protein Riegel, 2.69, 2.29, 50 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2621611\4\budni_2621611_4_29886.png, Burti, Feinwaschmittel, 3.49, 2.79, 26 WL
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2621611\6\budni_2621611_6_29915.png, Leibniz, Butterkeks, 1.89, 1.11, 200 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2621611\6\budni_2621611_6_29918.png, Ovomaltine, Klassiker, 6.49, 4.99, 500 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2621611\6\budni_2621611_6_29921.png, Alnatura, Fruchtaufstrich, 2.99, 2.29, 420 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2621611\6\budni_2621611_6_29927.png, Rotbäckchen, Saft, 3.99, 2.99, 700 ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2621611\8\budni_2621611_8_29951.png, Always, Slipeinlagen, 3.79, 2.59, 
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2441853\1\edeka_2441853_1_521.png, GUT&GÜNSTIG, Paprika, , 1.00, 500g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2441853\4\edeka_2441853_4_641.png, , Hähnchen-Innenfilet, , 0.99, 100g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2441853\4\edeka_2441853_4_646.png, , Kasseler-Lachsbraten, , 7.99, 1kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2441853\6\edeka_2441853_6_649.png, EDEKA, Apfelrotkohl, , 1.79, 450g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2441853\6\edeka_2441853_6_653.png, McCain, Smiles, , 1.99, 450g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2441853\6\edeka_2441853_6_656.png, Toppits, Back-Bögen, , 2.49, 
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2441853\7\edeka_2441853_7_665.png, Milram, Buttermilchdrink, , 0.99, 750g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2441853\7\edeka_2441853_7_671.png, Sanella, Margarine, , 1.29, 400g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2441853\8\edeka_2441853_8_677.png, EDEKA Bio, Kartoffelpüree, , 1.29, 160g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2441853\8\edeka_2441853_8_689.png, Milka, Haselnusscreme, , 3.49, 600g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2441853\9\edeka_2441853_9_695.png, Knorr, Suppenliebe, , 0.69, 
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2441853\10\edeka_2441853_10_529.png, EDEKA Herzstücke, Wiener Boden, , 2.99, 500g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2441853\10\edeka_2441853_10_534.png, EDEKA Herzstücke, Irische Butter, , 2.22, 250g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2441853\11\edeka_2441853_11_542.png, Leibniz, Choco-Kekse, , 1.29, 125g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2441853\11\edeka_2441853_11_548.png, Lieken, Lieblingsbrot, , 1.99, 400g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2441853\17\edeka_2441853_17_602.png, Jim Beam, Ready to Drink, 2.69, 1.99, 0.33 L
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2441853\17\edeka_2441853_17_606.png, Smirnoff, Vodka, 12.99, 9.99, 0.7 L
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2441853\20\edeka_2441853_20_634.png, , Gepökelter Schinken Krustenbraten, 7.99, 4.99, 1 kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2441853\20\edeka_2441853_20_635.png, , Mangos, 1.49, 0.79, 
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\1\edeka_2636259_1_32617.png, , Kulturheidelbeeren, 4.99, 2.99, 500 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\1\edeka_2636259_1_32619.png, , Bananen, 1.29, 1.00, 1 kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\1\edeka_2636259_1_32616.png, , Hackfleisch, 1.19, 0.69, 100 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\5\edeka_2636259_5_32730.png, , Kopfsalat, , 1.29, 
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\5\edeka_2636259_5_32731.png, , Kohlrabi, , 0.79, 
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\5\edeka_2636259_5_32732.png, , Möhren, , 1.00, 1kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\5\edeka_2636259_5_32733.png, , Bio-Staudensellerie, , 1.49, 400 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\5\edeka_2636259_5_32735.png, , Spargel, , 3.33, 500 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\5\edeka_2636259_5_32736.png, , Lauchzwiebeln, , 0.79, 
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\5\edeka_2636259_5_32737.png, , Bio-Mandarinen, , 1.49, 500 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\8\edeka_2636259_8_32743.png, , Putenbrust, , 1.79, 100 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\9\edeka_2636259_9_32751.png, , Dauerwurst-Aufschnitt, , 1.79, 100 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\10\edeka_2636259_10_32636.png, Westland Old Amsterdam, holländischer Hartkäse, 2.19, 1.49, 100 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\11\edeka_2636259_11_32640.png, Weihenstephan, Joghurt, 1.39, 0.50, 500 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\19\edeka_2636259_19_32681.png, Milka, Haselnusscreme, , 2.99, 600 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\19\edeka_2636259_19_32684.png, Lavazza, Barista, , 13.99, 1 kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\21\edeka_2636259_21_32701.png, Knorr, Schlemmersauce, 1.79, 0.99, 250 ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\27\edeka_2636259_27_32714.png, Comet," ""Super Maxi Wunderkerzen""", , 3.99, 
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\28\edeka_2636259_28_32723.png, Jägermeister, Kräuterlikör, 14.49, 9.99, 0.7 l
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634519\2\edeka_2634519_2_32413.png, , Frische Hähnchenschnitzel, , 0.99, 100 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634519\2\edeka_2634519_2_32416.png, , Zarte Hüftsteaks, , 1.99, 100 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634519\2\edeka_2634519_2_32420.png, , Dünne Rippchen, , 5.55, 1 kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634519\6\edeka_2634519_6_32466.png, Landliebe, Joghurt, 2.19, 1.11, 500 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634519\6\edeka_2634519_6_32472.png, Apostels, Zaziki, 1.29, 0.88, 200g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634278\3\edeka_2634278_3_32057.png, , Erdbeeren, , 1.77, 250g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634278\3\edeka_2634278_3_32058.png, ," Blutorangen ""Moro""", , 1.49, 1kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634278\3\edeka_2634278_3_32059.png, , Hähnchen-Keulen*, 0.79, 0.55, 100g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634278\3\edeka_2634278_3_32060.png, , Mandarinen, , 1.49, 1kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634278\4\edeka_2634278_4_32061.png, , Zitronen, , 1.00, 500g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634278\4\edeka_2634278_4_32063.png, , Litschis, , 2.99, 500g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634278\4\edeka_2634278_4_32065.png, , Heidelbeeren, , 1.99, 125g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634278\4\edeka_2634278_4_32067.png, , Bananen, , 1.00, 1kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634278\4\edeka_2634278_4_32068.png, , Himbeeren, , 1.49, 125g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634278\4\edeka_2634278_4_32069.png, , Granatapfelkerne, , 2.99, 150g
