img_path,easyocr_ocr,tesseract_ocr,doctr_ocr
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2449109\1\budni_2449109_1_1655.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2449109\1\budni_2449109_1_1657.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2449109\1\budni_2449109_1_1659.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2449109\1\budni_2449109_1_1661.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2449109\2\budni_2449109_2_1668.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.4))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2449109\2\budni_2449109_2_1671.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2449109\2\budni_2449109_2_1672.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.4))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2449109\3\budni_2449109_3_1689.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2449109\3\budni_2449109_3_1690.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.4))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2449109\3\budni_2449109_3_1691.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2449109\4\budni_2449109_4_1697.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2449109\4\budni_2449109_4_1704.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2449109\5\budni_2449109_5_1717.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2449109\8\budni_2449109_8_1725.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.4))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2449109\8\budni_2449109_8_1727.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2455686\1\budni_2455686_1_2906.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
