img_path,ppocr_ocr,easyocr_ocr,tesseract_ocr,doctr_ocr
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\16\kaufland_2638415_16_32855.png,"AKTION Dtsch./ital. Tafelapfel,rot nur Sorte laut Auszeichnung,KI.1 2.49 je2-kg-Beutel 1kg=1.25)","Dtsch lital. AKTION Tafeläpfel, rot Sorte laut nur Auszeichnung, KI. je 2-kg-Beutel 2.49 ~ (1 kg 1.25)","w a
nv Y
” “ ww

a

Dtsch./ital.

Tafeläpfel, rot
Sorte laut
‚Auszeichnung, Kl. |
je 2-kg-Beutel
(1kg = 1.25)
","AKTION
Dtsch./ital.
Tafelapfel, rot
nur
Sorte laut
Auszeichnung. KI.I
je 2-kg-Beutel
2.49
(1 kg = 1.25)"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\norma\2594726\4\norma_2594726_4_25335.png,"Odenwald wild- Preiselbeeren unser Feinstes 390-g-Glas 1kg=5,10 Odenwald 42%billiger Wild reselbeeren UVP3,49 1,99 390 g 4","Doenwald] Wild- Preiselbeeren unser Feinstes Crov 390-9 Glas (1 kg = 5,10) Oocnwal] billliger WWhld - ncielbcneU UvP 3,49 4 390 42% 199","Wild-
Preiselbeeren
unser Feinstes

390-9-Glas

(tkg=5,10)

","00enwalo
Wild-
Preiselbeeren
unser Feinstes
390-g-Glas
(1kg=5,10)
Odenwalo
Wild-
nciselbeezen
42%billiger
UVP 3,A9

- -
119 y
3909"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rossmann\2449857\1\rossmann_2449857_1_1736.png,Thermo- Nierenwarmer S/M oder L/XL Gestreift 6.99,Thermo- Nierenwärmer SIM oder LIXL Gestreift 6.99,"Thermo-
Nierenwärmer
« S/M oder L/XL

« Gestreift

62°

","Thermo-
Nierenwarmer
S/M oder L/XL
Gestreift
. 99
-
-
6.9"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\metro\2492948\20\metro_2492948_20_7122.png,"TULLAMORES D.E.W. EST. 1829 IRISH WHISKEY IOLLAMORE Tullamore Dew ARTOFIREIAND Irish Whiskey 40%Vol. 0,7-1-Flasche 11,49*(13,67)","TULLAMORE DEW EsT: 182? irish Whiskey Quaa Vullamore Tullamore Dew rune Uke 1y J Irish Whiskey 40% Vol 0,7-I-Flasche 11,49*(13,67)","Tullamore Dew
Irish Whiskey

mn

- 40% Vol. —

1 071-Fasche 11,49* (13,67)
","6h
TULLAMORE
- - D.E.W. sM
1829
*
EST.
IRISH WHISKEY
 Rr T
4e - 1 -
ad
ULLA MOR
Tullamore Dew
PARTOFIRE ANP
Irish Whiskey
40% Vol.
0,7-1-Flasche
11,49*(13,67"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\tegut\2450247\6\tegut_2450247_6_2407.png,"Aktion 100g 299 Entrecote6 zart und saftig, ein echter Leckerbissen fur Fleischfans""","Aktion 100 g 299 Entrecite zart und saftig, ein echter Leckerbissen für Fleischfans","Entrecöte® _
zart und'saftig, = z
. einechtef Leckerbissen - .
für Fleischfans” _ ;

","Aktion
100 g
299
Entreçôte 6
0
zart undsaftig,
ein echter Leckerbissen
fur Fleischfans"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rossmann\2449857\7\rossmann_2449857_7_1936.png,Diadem Coloration Packung DIADEM 3.99,Diodem Coloration Packung DIADEM 399,"Diadem
Coloration
Packung

","Diadem
Coloration
Packung
-
-

-
DIADEM
Sint ICE-COLORCRENE
FUR 99 CRAUABOECKUNG
Kinige farben und Plege - Sahop
E ichhatige Pg - 1
-
Unganhahend arbergebn
399"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\3\nahkauf_2450246_3_2218.png,"MILRAM FRUHLINGS QUARK MILR FRUHL MILRAM QUA FRUHLINGS QUARK BESSOOER MILRAM FRUHLINGS Milram AKTION Fruhlingsquark versch.Sorten, 099 je185-q-Becher 1kg=5.35","MIRAM FRUHUNGS QUARK MIiR' FRUHUG Mram Quai FRUHLNGS QUARK Milram FRUHLINGS QUARK Milram AKTIOn Frühlingsquark versch Sorten, je 185-g-Becher (1 kg = 5.35) 099","Milram
Frühlingsquark
versch:'Sorten,
je185-g-Becher
(1kg=5.35)

","MILRAM
FRUHLINGS
QUARK
MILP
FRUHU
MILRAM
QUAI
FRUHLINGS
QUARK
MILRAM
FRUHLINGS
QUARK
Milram
AKTION
Fruhlingsquark
-
verschSorten;
je 185-g-Becher
099
(1kg 5.35)"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\10\kaufland_2638415_10_32819.png,"JST AUF FISCH? ufland.de/fisch-rezepte Bse K-BIO Bio-Basmati- Bio Reis SRATREHESD aromatisch, locker und langkornig Reis je 500-g-Packg 1kg=2.78 -22% 1.79 500g 1.39",JST AUF FISCH? ufland.delfisch-rezepte K-BIO Bio-Basmati- Bio Reis aromatisch; locker Pn und langkörnig je 500-9-Packg. (1 kg = 2.78) 22% 479 500 1.39 9," K-BIO
Bio-Basmati-

& „Reis
aromatisch, locker

und langkörnig

I je 500-g-Packg.

@ 1 (1kg= 2.78)

en et
wi
E

— a
er

","JST - AUF FSC?
- -
ufland.de/fisch-rezepte
:.
bso
-
K-BIO
Bio-Basmati
Bio
Reis
ORATIENTD
aromatisch, locker
Bostnata: -
und langkornig
Reis
je 500-g-Packg.
AAKCI OKIRMNR
(1 kg = 2.78)
a
-22%
1.79
500
1.39"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\globus\2492207\7\globus_2492207_7_6853.png,"Tukan Bio Rauchertofu Sesam-Mandel,1kg=14.95 RAUCHERTOFU lukan 200g 299 329 Vegan","Tukan Bio Räuchertofu Sesam-Mandel, kg 14.95 Rauchertofu lis (ukän 200 g 299 329 Vegan","'Tukan Bio Räuchertofu
Sesam-Mandel, 1 kg = 14.95

2009

","Tukan Bio Rauchertofu
sesam-Mande, 1 kg = 14.95
RAUCHERTOFU
S
-
BIO
lukan
- a 1
-
a
200g
299
329
Vegan"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\7\budni_2479913_7_6103.png,"-13% Funny-frisch 19, 99 Advents kalender 810g UVP22,99 1kg=24.68","13% Funny-frisch 99 Advents- 19, kalender 810 g UVP 22,99 kg 24,68","Funny-frisch
Advents-
kalender

8108
1kg = 24,68 i
","-
-13%
Funny-Frisch
Advents-
19,99
kalender
810 e
UVP22,99
1 kg = 24,68"
