img_path,brand,product_name,original_price,deal_price,weight
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2449109\1\budni_2449109_1_1657.png,Dallmayr,Prodomo Kaffee,7.49,5.69,500 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2449109\8\budni_2449109_8_1725.png,Café Intención,Crema Aromatico,19.99,13.99,1 kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2455686\3\budni_2455686_3_2940.png,Billy Tiger,Maisstangen,0.89,0.79,60 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2455686\4\budni_2455686_4_2952.png,Natural Wax,Stabkerzen,4.99,3.99,4 Stück
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\4\budni_2479913_4_6049.png,Surig,Essigessenz,1.49,0.99,400 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\7\budni_2479913_7_6103.png,Funny-frisch,Adventskalender,22.99,19.99,810 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\8\budni_2479913_8_6111.png,Monster,Energydrink,1.49,0.88,500 ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\1\budni_2494853_1_7516.png,Duschdas,Duschgel,1.79,0.99,225 ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\1\budni_2494853_1_7517.png,Katjes,Fruchtgummi,1.19,0.69,175 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\2\budni_2494853_2_7530.png,bebe,Reinigungstücher,2.49,1.79,25 Stück
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\3\budni_2494853_3_7543.png,Hipp,Reiswaffeln,1.29,0.79,30 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\3\budni_2494853_3_7546.png,Milupa,Milchbrei,4.99,3.49,400 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\5\budni_2494853_5_7567.png,Centrum,A-Zink,13.25,9.99,30 Tabletten
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2621611\8\budni_2621611_8_29951.png,Always,Slipeinlagen,3.79,2.59,
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2441853\17\edeka_2441853_17_602.png,Jim Beam,Ready to Drink,2.69,1.99,0.33 L
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2441853\17\edeka_2441853_17_606.png,Smirnoff,Vodka,12.99,9.99,0.7 L
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2441853\8\edeka_2441853_8_677.png,EDEKA Bio,Kartoffelpüree,,1.29,160g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634278\4\edeka_2634278_4_32065.png,,Heidelbeeren,,1.99,125g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634278\5\edeka_2634278_5_32080.png,,Kohlrabi,,0.59,
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634278\9\edeka_2634278_9_32109.png,alpro,Drink,2.99,1.99,1L
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\19\edeka_2636259_19_32681.png,Milka,Haselnusscreme,,2.99,600 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\19\edeka_2636259_19_32684.png,Lavazza,Barista,,13.99,1 kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\1\edeka_2636259_1_32617.png,,Kulturheidelbeeren,4.99,2.99,500 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\5\edeka_2636259_5_32736.png,,Lauchzwiebeln,,0.79,
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\9\edeka_2636259_9_32751.png,,Dauerwurst-Aufschnitt,,1.79,100 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\globus\2492207\6\globus_2492207_6_6833.png,,Riesenpapayas,,3.99,
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\globus\2492207\6\globus_2492207_6_6838.png,,Tafelbirnen Abate Fetel,,1.49,500 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\globus\2492207\7\globus_2492207_7_6851.png,Lotus Biscoff,Das Original Karamellgebäck,,1.49,250 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\globus\2492207\7\globus_2492207_7_6853.png,Tukan,Bio Räuchertofu,3.29,2.99,200 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\hit\2452350\1\hit_2452350_1_2443.png,,Deutsches frisches Hackfleisch gemischt,,2.99,1 kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\hit\2452350\2\hit_2452350_2_2457.png,,Italien Tafeltrauben mit Kern,,3.99,1 kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\hit\2466398\1\hit_2466398_1_5101.png,,Mon Chéri,,2.22,157 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\hit\2563724\9\hit_2563724_9_20555.png,Lacroix,Paste,,0.99,40 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\hit\2577235\1\hit_2577235_1_23896.png,Oatly,Haferdrink,,1.59,1 l
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\hit\2577235\1\hit_2577235_1_23899.png,,Spanien Clementinen im Jutesack,,2.99,1.5 kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2443964\5\kaufland_2443964_5_1251.png,RITTER SPORT,Schokolade Bunte Vielfalt,1.89,1.11,100 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\10\kaufland_2638415_10_32819.png,K-BIO,Bio-Basmati-Reis,1.79,1.39,500-g
